Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 88,   Concat, 128, 20, 20, 128, 20, 20, 128,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, 50e80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 89,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 128, 42112, 0, 1a100, ,,,,,,,, 
 90,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 1b880, ,,,,,,,, MSMC, DMA, 320, 256, 64, 21120, 0, 28900, ,,,,,,,, 
 91,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 3d100, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 50e80, ,,,,,,,, 
 92,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 3d100, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 50e80, ,,,,,,,, 
 93,     Conv, 64, 20, 20, 1, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 1, 1024, 0, 1b480, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 1a080, ,,,,,,,, 
 94,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 1b880, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 50e80, ,,,,,,,, 
 95,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 1cc00, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 50e80, ,,,,,,,, 
 97,     Conv, 64, 20, 20, 1, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 1, 1024, 0, 1b880, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 1a080, ,,,,,,,, 
 96,     Conv, 64, 20, 20, 4, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 4, 3456, 0, 1bc80, ,,,,,,,, MSMC, DMA, 192, 128, 4, 1408, 0, 1a080, ,,,,,,,, 
 98,   Concat, 6, 20, 20, 6, 20, 20, 6,  COL, 0, 0, 800, 800, 6, 1, 6,,,,,,,,, L2, DMA, 832, 832, 2, 1664, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 6, 5120, 0, 1a080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 99,     Conv, 128, 20, 20, 128, 10, 10, 128, ROW_L, 40, 40, 760, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 107392, 0, 0, ,,,,,,,, MSMC, CPU, 320, 202, 128, 41088, 0, 1b480, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304256, 0, 50e80, ,,,,,,,, 
 100,   Concat, 256, 10, 10, 256, 10, 10, 256,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 81920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 256, 82048, 0, 50e80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 101,     Conv, 256, 10, 10, 128, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74880, 0, 64f00, ,,,,,,,, 
 102,     Conv, 256, 10, 10, 128, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, a080, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74880, 0, 1b480, ,,,,,,,, 
 103,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41088, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, a080, ,,,,,,,, MSMC, DMA, 320, 256, 128, 42112, 0, 1b480, ,,,,,,,, 
 104,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41088, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, a080, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304256, 0, 50e80, ,,,,,,,, 
 105,   Concat, 256, 10, 10, 256, 10, 10, 256,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 81920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 256, 82048, 0, 1b480, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 106,     Conv, 256, 10, 10, 256, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 256, 82048, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149632, 0, 50e80, ,,,,,,,, 
 107,     Conv, 256, 10, 10, 64, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 64, 20608, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 64, 37504, 0, 1b480, ,,,,,,,, 
 108,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 64, 20608, 0, 1b480, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5080, ,,,,,,,, 
 109,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 64, 20608, 0, 1b480, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5080, ,,,,,,,, 
 110,     Conv, 64, 10, 10, 1, 10, 10, 64, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 1, 512, 0, 5080, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 5280, ,,,,,,,, 
 111,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 64, 20608, 0, 0, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5280, ,,,,,,,, 
 112,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 64, 20608, 0, 0, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 5280, ,,,,,,,, 
 114,     Conv, 64, 10, 10, 1, 10, 10, 64, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 1, 512, 0, 5280, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 5480, ,,,,,,,, 
 113,     Conv, 64, 10, 10, 4, 10, 10, 64, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 64, 20608, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 4, 1408, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 4, 1408, 0, 5480, ,,,,,,,, 
 115,   Concat, 6, 10, 10, 6, 10, 10, 6,  COL, 0, 0, 200, 200, 6, 1, 6,,,,,,,,, L2, DMA, 320, 320, 2, 640, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 6, 2048, 0, 580, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 116, DetectionOutput, 6, 40, 40, 1, 1405, 1, 6,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 6, 19584, 0, 0, ,,,,,,,, MSMC, CPU, 5696, 5620, 1, 5888, 0, d80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, ODOutputReformat, 1, 1405, 1, 1, 6, 200, 1,  COL, 0, 0, 2810, 2810, 1, 1, 1,,,,,,,,, L2, DMA, 2880, 2880, 1, 2944, 0, 0, MSMC, CPU, 9600, 0, 1, 9728, 0, 2480, DDR, DMA, 4800, 4800, 1, 5888, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118,     Data, 1, 6, 200, 0, 0, 0, 1, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 5696, 1200, 1, 5888, 0, 0, ,,,,,,,, DDR, CPU, 204800, 0, 0, 615424, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
