Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 42,     Pool, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41216, 0, 80, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 57180, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43,     Pool, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41216, 0, 80, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 61200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44,     Pool, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41216, 0, 80, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 61200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45,     Pool, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41216, 0, 80, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 6b280, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46,     Pool, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41216, 0, 80, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 6b280, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 47,   Concat, 512, 10, 10, 512, 10, 10, 512,  COL, 0, 0, 200, 200, 4, 1, 4,,,,,,,,, L2, DMA, 320, 320, 256, 81920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 512, 163968, 0, 75300, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48,     Conv, 512, 10, 10, 256, 10, 10, 512, ROW_L, 0, 0, 160, 200, 2, 1, 2,,,,,,,,, L2, DMA, 320, 320, 512, 163968, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 256, 82048, 0, 57180, ,,,,,,,, MSMC, DMA, 1088, 1024, 256, 280704, 0, 9d380, ,,,,,,,, 
 49,     Conv, 256, 10, 10, 128, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 33080, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74880, 0, 6b200, ,,,,,,,, 
 50,     Conv, 256, 10, 10, 128, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, 57180, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74880, 0, 6b200, ,,,,,,,, 
 51,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41088, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, a1600, ,,,,,,,, MSMC, DMA, 320, 256, 128, 42112, 0, 61200, ,,,,,,,, 
